time,action,isGCD,castTime
-12.0,明镜止水,0,0.0
-0.759999999999998,月光,1,0.0
3.552713678800501e-15,意气冲天,0,0.0
1.7462500000000034,彼岸花,1,1.3
3.158750000000005,爆发药,0,0.0
4.252500000000005,花车,1,0.0
4.902500000000007,必杀剑·闪影,0,0.0
6.758750000000006,月光,1,0.0
7.308750000000003,残心,0,0.0
7.858750000000004,牵制,0,0.0
8.933750000000003,晓风,1,0.0
11.108750000000008,雪风,1,0.0
11.658750000000005,天眼通,0,0.0
13.283749999999998,天道雪月花,1,1.3
14.696249999999992,天眼通生效,0,0.0
15.458749999999988,天道回返雪月花,1,0.0
17.633749999999985,奥义斩浪,1,1.3
19.046249999999983,照破,0,0.0
19.80874999999999,回返斩浪,1,0.0
21.983749999999997,晓风,1,0.0
24.15875,雪风,1,0.0
24.708749999999995,明镜止水,0,0.0
26.333749999999988,花车,1,0.0
26.883749999999985,必杀剑·震天,0,0.0
28.508749999999974,月光,1,0.0
29.05874999999997,必杀剑·震天,0,0.0
30.683749999999986,天道雪月花,1,1.3
32.85874999999998,天道回返雪月花,1,0.0
35.033749999999976,月光,1,0.0
37.20874999999998,晓风,1,0.0
37.75874999999998,天眼通,0,0.0
39.38374999999998,雪风,1,0.0
39.933749999999975,天眼通生效,0,0.0
41.558749999999975,晓风,1,0.0
43.73374999999997,士风,1,0.0
44.28374999999997,必杀剑·震天,0,0.0
45.90874999999996,花车,1,0.0
48.08374999999995,纷乱雪月花,1,1.3
50.258749999999935,回返雪月花,1,0.0
50.80874999999993,必杀剑·震天,0,0.0
52.43374999999993,晓风,1,0.0
54.60874999999993,雪风,1,0.0
55.15874999999993,必杀剑·震天,0,0.0
56.78374999999991,晓风,1,0.0
57.33374999999991,天眼通,0,0.0
58.95874999999992,士风,1,0.0
59.50874999999992,必杀剑·震天,0,0.0
60.05874999999992,天眼通生效,0,0.0
61.13374999999992,彼岸花,1,1.3
63.30874999999989,花车,1,0.0
64.90249999999992,必杀剑·闪影,0,0.0
65.48374999999989,晓风,1,0.0
66.0337499999999,照破,0,0.0
67.6587499999999,雪风,1,0.0
