time,action,isGCD,castTime
-6,Ten,1,0
-5.49375,Chi,1,0
-4.987500000000001,Jin,1,0
-1,Suiton,1,0
0.5062500000000014,Spinning Edge,1,0
1.0562499999999986,Kassatsu,0,0
2.6312499999999943,Gust Slash,1,0
3.6812499999999915,Dokumori,0,0
4.231249999999992,Bunshin,0,0
4.781249999999993,Phantom Kamaitachi,1,0
6.906249999999993,Armor Crush,1,0
8.456249999999994,Kunai's Bane,0,0
9.031249999999993,Ten,1,0
9.537499999999994,Jin,1,0
10.043749999999996,Hyosho Ranryu,1,0
10.593749999999996,Dream Within a Dream,0,0
11.549999999999997,Ten,1,0
12.056249999999999,Chi,1,0
12.5625,Raiton,1,0
13.112500000000004,Ten Chi Jin,0,0
14.068750000000001,Fuma Shuriken (Ten),1,0
15.075000000000003,Raiton (Chi),1,0
16.081249999999997,Suiton (Jin),1,0
16.63125,Tenri Jindo,0,0
17.5875,Fleeting Raiju,1,0
18.137499999999996,Meisui,0,0
18.687499999999993,Zesho Meppo,0,0
19.7125,Ten,1,0
20.21875,Chi,1,0
20.725,Raiton,1,0
22.231249999999996,Fleeting Raiju,1,0
22.781249999999993,Bhavacakra,0,0
24.356250000000003,Fleeting Raiju,1,0
26.48125000000001,Spinning Edge,1,0
28.60625000000001,Gust Slash,1,0
30.731250000000003,Aeolian Edge,1,0
32.85625,Spinning Edge,1,0
34.98125000000001,Gust Slash,1,0
37.10625000000001,Armor Crush,1,0
39.23125000000002,Spinning Edge,1,0
41.35625000000002,Gust Slash,1,0
43.48125000000002,Aeolian Edge,1,0
45.60625000000002,Spinning Edge,1,0
47.73125000000003,Gust Slash,1,0
48.28125000000003,Bhavacakra,0,0
49.85625000000002,Armor Crush,1,0
51.98125,Ten,1,0
52.4875,Chi,1,0
52.99374999999999,Jin,1,0
53.499999999999986,Suiton,1,0
55.006249999999994,Spinning Edge,1,0
57.13125000000001,Gust Slash,1,0
59.25625000000002,Aeolian Edge,1,0
61.38125000000004,Spinning Edge,1,0
61.931250000000034,Kassatsu,0,0
63.50625000000004,Gust Slash,1,0
64.05625000000005,Bhavacakra,0,0
65.63125000000004,Armor Crush,1,0
67.75625000000004,Spinning Edge,1,0
68.45625000000004,Kunai's Bane,0,0
69.88125000000007,Ten,1,0
70.38750000000006,Jin,1,0
70.89375000000005,Hyosho Ranryu,1,0
71.44375000000005,Dream Within a Dream,0,0
72.40000000000005,Ten,1,0
72.90625000000004,Chi,1,0
73.41250000000004,Raiton,1,0
73.96250000000003,Bhavacakra,0,0
74.91875000000003,Fleeting Raiju,1,0
77.04375000000002,Ten,1,0
77.55000000000001,Chi,1,0
78.05625,Raiton,1,0
79.5625,Fleeting Raiju,1,0
81.68749999999999,Gust Slash,1,0
83.8125,Aeolian Edge,1,0
85.93750000000001,Spinning Edge,1,0
88.06250000000003,Gust Slash,1,0
90.18750000000004,Aeolian Edge,1,0
92.31250000000006,Spinning Edge,1,0
94.43750000000007,Gust Slash,1,0
96.56250000000009,Armor Crush,1,0
97.11250000000008,Bhavacakra,0,0
98.68750000000007,Spinning Edge,1,0
100.81250000000009,Gust Slash,1,0
102.9375000000001,Aeolian Edge,1,0
105.06250000000011,Spinning Edge,1,0
107.18750000000014,Gust Slash,1,0
109.31250000000017,Aeolian Edge,1,0
109.86250000000015,Bhavacakra,0,0
111.43750000000017,Spinning Edge,1,0
113.5625000000002,Ten,1,0
114.0687500000002,Chi,1,0
114.57500000000019,Jin,1,0
115.08125000000018,Suiton,1,0
116.5875000000002,Gust Slash,1,0
117.13750000000022,Tincture,0,0
118.71250000000023,Aeolian Edge,1,0
120.83750000000023,Spinning Edge,1,0
121.38750000000024,Bunshin,0,0
121.93750000000023,Kassatsu,0,0
122.96250000000023,Gust Slash,1,0
124.01250000000027,Dokumori,0,0
125.08750000000026,Aeolian Edge,1,0
127.21250000000023,Phantom Kamaitachi,1,0
128.7625000000002,Kunai's Bane,0,0
129.3375000000002,Ten,1,0
129.8437500000002,Jin,1,0
130.35000000000016,Hyosho Ranryu,1,0
130.90000000000015,Zesho Meppo,0,0
131.8562500000001,Ten,1,0
132.3625000000001,Chi,1,0
132.8687500000001,Raiton,1,0
133.41875000000007,Dream Within a Dream,0,0
134.37500000000006,Fleeting Raiju,1,0
134.92500000000007,Bhavacakra,0,0
135.47500000000005,Ten Chi Jin,0,0
136.50000000000006,Fuma Shuriken (Ten),1,0
137.50625000000005,Raiton (Chi),1,0
138.51250000000002,Suiton (Jin),1,0
139.06250000000003,Tenri Jindo,0,0
140.01875000000004,Ten,1,0
