time,damageSource,potency
0.29000000000000004,STORMBITE@-1,100
0.5300010000000004,ATTACK@0.5300010000000002,80
1.930828174630748,STORMBITE@-1,25
2.8066666666666684,CAUSTIC_BITE@1.5166666666666675,150
3.570001000000003,ATTACK@3.570001000000002,92
4.930828174630749,STORMBITE@-1,25
4.930828174630749,CAUSTIC_BITE@1.5166666666666675,20
5.786666666666671,BURST_SHOT@4.316666666666668,267.5382838506489
6.04666666666667,EMYPREAL_ARROW@5.016666666666669,316.1816081871305
6.610001000000004,ATTACK@6.610001000000005,97.28664867296324
7.503333333333337,IRON_JAWS@6.8333333333333375,121.60831084120404
7.930828174630751,IRON_JAWS@7.503333333333337,30.40207771030101
7.930828174630751,IRON_JAWS@7.503333333333337,24.32166216824081
9.650001000000005,ATTACK@9.650001000000003,99.2323816464225
10.580000000000004,SIDEWINDER@10.050000000000004,496.16190823211247
10.820000000000004,REFULGENT_ARROW@9.350000000000003,1041.9400072874362
10.93082817463075,IRON_JAWS@7.503333333333337,30.40207771030101
10.93082817463075,IRON_JAWS@7.503333333333337,24.32166216824081
12.690001000000002,ATTACK@12.690001000000004,99.2323816464225
13.93082817463075,IRON_JAWS@7.503333333333337,30.40207771030101
13.93082817463075,IRON_JAWS@7.503333333333337,24.32166216824081
15.730001000000001,ATTACK@15.730001,99.2323816464225
16.343333333333334,RADIANT_ENCORE@14.383333333333336,868.2833394061969
16.930828174630747,IRON_JAWS@7.503333333333337,30.40207771030101
16.930828174630747,IRON_JAWS@7.503333333333337,24.32166216824081
18.770001,ATTACK@18.770001,99.2323816464225
19.930828174630747,IRON_JAWS@7.503333333333337,30.40207771030101
19.930828174630747,IRON_JAWS@7.503333333333337,24.32166216824081
21.810001,ATTACK@21.810001,99.2323816464225
22.930828174630747,IRON_JAWS@7.503333333333337,30.40207771030101
22.930828174630747,IRON_JAWS@7.503333333333337,24.32166216824081
24.850001,ATTACK@24.850001,82.46076542818338
25.930828174630747,IRON_JAWS@7.503333333333337,30.40207771030101
25.930828174630747,IRON_JAWS@7.503333333333337,24.32166216824081
27.890000999999998,ATTACK@27.890000999999998,82.46076542818338
28.930828174630747,IRON_JAWS@7.503333333333337,30.40207771030101
28.930828174630747,IRON_JAWS@7.503333333333337,24.32166216824081
30.930001000000004,ATTACK@30.930001000000004,80.84388767468958
31.930828174630754,IRON_JAWS@7.503333333333337,30.40207771030101
31.930828174630754,IRON_JAWS@7.503333333333337,24.32166216824081
33.970001,ATTACK@33.97000100000001,80.84388767468958
34.930828174630754,IRON_JAWS@7.503333333333337,30.40207771030101
34.930828174630754,IRON_JAWS@7.503333333333337,24.32166216824081
37.01000100000001,ATTACK@37.01000100000001,80.84388767468958
37.930828174630754,IRON_JAWS@7.503333333333337,30.40207771030101
37.930828174630754,IRON_JAWS@7.503333333333337,24.32166216824081
40.05000100000001,ATTACK@40.05000100000001,80.84388767468958
40.930828174630754,IRON_JAWS@7.503333333333337,30.40207771030101
40.930828174630754,IRON_JAWS@7.503333333333337,24.32166216824081
43.09000100000001,ATTACK@43.09000100000001,80.84388767468958
43.930828174630754,IRON_JAWS@7.503333333333337,30.40207771030101
43.930828174630754,IRON_JAWS@7.503333333333337,24.32166216824081
46.130001000000014,ATTACK@46.130001000000014,80.8
46.93082817463076,IRON_JAWS@7.503333333333337,30.40207771030101
46.93082817463076,IRON_JAWS@7.503333333333337,24.32166216824081
47.170000000000016,BURST_SHOT@45.70000000000002,222.2
47.43000000000002,EMYPREAL_ARROW@46.40000000000001,262.6
48.75000000000002,HEARTBREAK_SHOT@47.100000000000016,181.8
49.17000100000001,ATTACK@49.17000100000002,80.8
49.68666666666668,BURST_SHOT@48.21666666666669,222.2
49.93082817463076,IRON_JAWS@7.503333333333337,30.40207771030101
49.93082817463076,IRON_JAWS@7.503333333333337,24.32166216824081
52.20333333333335,REFULGENT_ARROW@50.73333333333335,282.8
52.21000100000001,ATTACK@52.21000100000001,80.8
53.920000000000016,IRON_JAWS@53.250000000000014,101
55.25000100000001,ATTACK@55.25000100000001,80.8
55.600000000000016,HEARTBREAK_SHOT@53.95000000000002,181.8
57.23666666666668,BURST_SHOT@55.76666666666668,222.2
58.29000100000001,ATTACK@58.29000100000001,80.8
61.33000100000001,ATTACK@61.33000100000001,80.8
64.37000100000002,ATTACK@64.37000100000002,80.8
67.41000100000001,ATTACK@67.41000100000001,80.8
70.45000100000001,ATTACK@70.45000100000001,80.8
70.57999999999998,SIDEWINDER@70.04999999999998,404
72.21999999999998,BURST_SHOT@70.74999999999999,222.2
73.49000100000002,ATTACK@73.49000100000002,80.8
74.33666666666666,APEX_ARROW@73.26666666666665,707
76.53000100000003,ATTACK@76.53000100000003,80.8
77.43333333333332,BLAST_ARROW@75.78333333333332,707
79.57000100000003,ATTACK@79.57000100000003,80.8
82.61000100000004,ATTACK@82.61000100000004,80.8
85.65000100000006,ATTACK@85.65000100000006,80.8
88.69000100000005,ATTACK@88.69000100000005,80.8
91.73000100000007,ATTACK@91.73000100000007,80.55710306406687
92.17000000000003,BURST_SHOT@90.70000000000003,221.53203342618386
92.43000000000004,EMYPREAL_ARROW@91.40000000000003,261.8105849582173
93.75000000000004,HEARTBREAK_SHOT@92.10000000000004,181.25348189415044
94.68666666666671,BURST_SHOT@93.21666666666671,221.53203342618386
94.77000100000008,ATTACK@94.77000100000008,80.55710306406687
97.00333333333339,REFULGENT_ARROW@95.53333333333339,281.94986072423404
97.56680100000008,ATTACK@97.56680100000008,80.55710306406687
98.52000000000005,IRON_JAWS@97.85000000000005,100.69637883008357
100.24200100000009,ATTACK@100.24200100000009,80.55710306406687
102.79560100000009,ATTACK@102.79560100000009,80.55710306406687
105.34920100000011,ATTACK@105.34920100000011,80.55710306406687
107.90280100000011,ATTACK@107.90280100000011,80.55710306406687
110.45640100000011,ATTACK@110.45640100000011,80.55710306406687
113.0100010000001,ATTACK@113.0100010000001,80.55710306406687
115.56360100000009,ATTACK@115.56360100000009,80.55710306406687
118.1172010000001,ATTACK@118.1172010000001,80.55710306406687
120.6708010000001,ATTACK@120.6708010000001,80.55710306406687
123.22440100000009,ATTACK@123.2244010000001,80.55710306406687
125.7780010000001,ATTACK@125.7780010000001,80.55710306406687
128.33160100000012,ATTACK@128.3316010000001,80.55710306406687
130.40333333333345,REFULGENT_ARROW@128.93333333333348,845.8495821727018
130.8852010000001,ATTACK@130.8852010000001,80.55710306406687
132.21000000000012,RESONANT_ARROW@131.05000000000013,644.4568245125349
133.4388010000001,ATTACK@133.4388010000001,80.55710306406687
134.63666666666677,BURST_SHOT@133.16666666666677,221.53203342618386
135.51666666666677,HEARTBREAK_SHOT@133.8666666666668,181.25348189415044
135.9924010000001,ATTACK@135.9924010000001,80.84388767468958
138.66760100000013,ATTACK@138.6676010000001,103.12384759334103
139.27000000000004,BURST_SHOT@137.8,283.59058088168786
139.53000000000003,EMYPREAL_ARROW@138.50000000000003,335.15250467835835
140.00000000000003,PITCH_PERFECT@139.20000000000005,283.59058088168786
140.6866666666667,IRON_JAWS@140.0166666666667,128.90480949167628
141.34280100000012,ATTACK@141.34280100000012,103.12384759334103
144.0180010000001,ATTACK@144.01800100000014,103.12384759334103
146.6932010000001,ATTACK@146.6932010000001,103.12384759334103
149.7332010000001,ATTACK@149.7332010000001,103.12384759334103
152.7732010000001,ATTACK@152.7732010000001,103.12384759334103
155.81320100000013,ATTACK@155.81320100000013,103.12384759334103
158.8532010000001,ATTACK@158.8532010000001,80.84388767468958
161.8932010000001,ATTACK@161.8932010000001,80.84388767468958
164.9332010000001,ATTACK@164.9332010000001,80.84388767468958
167.9732010000001,ATTACK@167.9732010000001,80.84388767468958
171.0132010000001,ATTACK@171.0132010000001,80.84388767468958
174.05320100000012,ATTACK@174.05320100000012,80.84388767468958
177.09320100000014,ATTACK@177.09320100000014,80.84388767468958
180.13320100000013,ATTACK@180.13320100000013,80.84388767468958
183.17320100000012,ATTACK@183.17320100000012,80
186.21320100000014,ATTACK@186.21320100000014,80
189.25320100000013,ATTACK@189.25320100000013,80
192.29320100000012,ATTACK@192.29320100000012,80
195.33320100000014,ATTACK@195.33320100000014,80
198.37320100000017,ATTACK@198.37320100000017,80
201.41320100000016,ATTACK@201.41320100000016,80
204.45320100000015,ATTACK@204.45320100000015,80
207.49320100000017,ATTACK@207.49320100000017,80
210.53320100000016,ATTACK@210.53320100000016,80
213.57320100000015,ATTACK@213.57320100000015,80
216.61320100000015,ATTACK@216.61320100000015,80
219.65320100000017,ATTACK@219.65320100000017,80
222.69320100000016,ATTACK@222.69320100000016,80
225.73320100000015,ATTACK@225.73320100000015,80
228.77320100000017,ATTACK@228.77320100000017,80
231.8132010000002,ATTACK@231.8132010000002,80
234.85320100000018,ATTACK@234.85320100000018,80
237.89320100000018,ATTACK@237.89320100000018,80
240.9332010000002,ATTACK@240.9332010000002,80
243.9732010000002,ATTACK@243.9732010000002,80
247.01320100000018,ATTACK@247.01320100000018,80
250.05320100000017,ATTACK@250.05320100000017,80
250.16333333333347,SIDEWINDER@249.63333333333347,400
250.40333333333345,REFULGENT_ARROW@248.93333333333348,840.0000000000001
252.5200000000001,APEX_ARROW@251.4500000000001,700
253.09320100000008,ATTACK@253.0932010000001,80
255.6166666666668,BLAST_ARROW@253.96666666666675,700
256.13320100000016,ATTACK@256.1332010000001,80
